Toipic/Chapter Name,Video Title,Video Description,Video URL
Section 1,Introduction,Introduction,https://vimeo.com/678667970
Section 1,Business Analysis,Business Analysis,https://vimeo.com/678667861
Section 1,Role of a Business Analyst,Role of a Business Analyst,https://vimeo.com/678668372
Section 1,What is Business Analysis,What is Business Analysis,https://vimeo.com/678667970
Section 2,Options Analysis in Business Analysis,Options Analysis in Business Analysis,https://vimeo.com/678677365
Section 2,What are Stakeholders in Business Analysis,What are Stakeholders in Business Analysis,https://vimeo.com/678677626
Section 3,How to gather business reqiurements,How to gather business reqiurements,https://vimeo.com/678680360
Section 3,Gathering requirements via brainstorming session,Gathering requirements via brainstorming session,https://vimeo.com/678680662
Section 3,Gathering requirements with the workshop,Gathering requirements with the workshop,https://vimeo.com/678680802
Section 3, Gathering Requirements via Surveys, Gathering Requirements via Surveys,https://vimeo.com/678680991
Section 3,"How to Group, Prioritize and Validate Requirements in Business Analysis","How to Group, Prioritize and Validate Requirements in Business Analysis",https://vimeo.com/678681297
Section 4,A note about Agile and Project Management for BAs,A note about Agile and Project Management for BAs,https://vimeo.com/696963102
Section 4,What is Agile?,What is Agile?,https://vimeo.com/696962936
Section 4,Why go Agile?,Why go Agile?,https://vimeo.com/696963031
Section 4,How it all began- the history of Agile,How it all began- the history of Agile,https://vimeo.com/696962673
Section 4,The Different Agile Methodologies,The Different Agile Methodologies,https://vimeo.com/696962870
Section 4,Agile Principles,Agile Principles,https://vimeo.com/696963714
Section 4,Agile Roles,Agile Roles,https://vimeo.com/678690274
Section 4,Agile tools,Agile tools,https://vimeo.com/678690438
Section 4,The Agile Culture,The Agile Culture,https://vimeo.com/696962732
Section 4,Agile vs. Waterfall,Agile vs. Waterfall,https://vimeo.com/696963844
Section 4,Agile FAQs,Agile FAQs,https://vimeo.com/696963192
Section 4,Agile Myths,Agile Myths,https://vimeo.com/696963481
Section 4,The Agile Knowledge Base,The Agile Knowledge Base,https://vimeo.com/696962799
Section 4,What is Agile,What is Agile,https://vimeo.com/678690716
Section 4,Agile artifacts,Agile artifacts,https://vimeo.com/678690899
Section 4,Agile concepts,Agile concepts,https://vimeo.com/678691035
Section 4,Agile rituals,Agile rituals,https://vimeo.com/678690123
Section 5,Preparing a Business Case in Business Analysis,Preparing a Business Case in Business Analysis,https://vimeo.com/678695645
Section 5,A Business Case and Business Plan in Business Analysis,A Business Case and Business Plan in Business Analysis,https://vimeo.com/678694970
Section 5,Mind Mapping in Business Analysis,Mind Mapping in Business Analysis,https://vimeo.com/678695459
Section 5,A note about the BA Tools Section,A note about the BA Tools Section,https://vimeo.com/678695548
Section 6,Introduction to JIRA from Atlassian; Agile project management tool,Introduction to JIRA from Atlassian; Agile project management tool,https://vimeo.com/678714174
Section 6,JIRA's History,JIRA's History,https://vimeo.com/678714592
Section 6, initial JRIA tour, initial JRIA tour,https://vimeo.com/678714894
Section 6,Components in JIRA,Components in JIRA,https://vimeo.com/678710999
Section 6,Scrum Boards in Jira,Scrum Boards in Jira,https://vimeo.com/678711239
Section 6,Reports in Jira and the Burndown Chart,Reports in Jira and the Burndown Chart,https://vimeo.com/678713020
Section 6,The Product Backlog in Jira also known as the Backlog or the Jira Backlog,The Product Backlog in Jira also known as the Backlog or the Jira Backlog,https://vimeo.com/678713394
Section 7,Introduction to Zoom,Introduction to Zoom,https://vimeo.com/679013758
Section 7,Quick Zoom Account Tour,Quick Zoom Account Tour,https://vimeo.com/679013958
Section 7,Getting Started with Zoom Part 1,Getting Started with Zoom Part 1,https://vimeo.com/679014122
Section 7,Getting Started with Zoom Part 2,Getting Started with Zoom Part 2,https://vimeo.com/679012653
Section 7,How to Schedule Meetings in Zoom,How to Schedule Meetings in Zoom,https://vimeo.com/679012852
Section 7,How to Host a Zoom Meeting,How to Host a Zoom Meeting,https://vimeo.com/679013074
Section 7, How to Host & Attend a Zoom Meeting a Real World Example of a Zoom Meeting, How to Host & Attend a Zoom Meeting a Real World Example of a Zoom Meeting,https://vimeo.com/679013183
Section 8,Everything else you should know about Teams,Everything else you should know about Teams,https://vimeo.com/679017985
Section 8,Free Microsoft Teams Resources & the Microsoft Teams App Part 1,Free Microsoft Teams Resources & the Microsoft Teams App Part 1,https://vimeo.com/679018147
Section 8,Free Microsoft Teams Resources & the Microsoft Teams App Part 2,Free Microsoft Teams Resources & the Microsoft Teams App Part 2,https://vimeo.com/679018209
Section 8,Initial Tour of Microsoft Teams,Initial Tour of Microsoft Teams,https://vimeo.com/679018282
Section 8,Teams Demo from Microsoft,Teams Demo from Microsoft,https://vimeo.com/679018554
Section 8,What is Teams,What is Teams,https://vimeo.com/679018899
Section 8,Business Analysis Toolkit Digital Teamwork & Collaboration,Business Analysis Toolkit Digital Teamwork & Collaboration,https://vimeo.com/679019054
Section 8,Chatting in Microsoft Teams,Chatting in Microsoft Teams,https://vimeo.com/679019130
Section 8,Create and Manage Channels in Microsoft Teams,Create and Manage Channels in Microsoft Teams,https://vimeo.com/679019279
Section 8,Create and Manage Teams in Microsoft Teams,Create and Manage Teams in Microsoft Teams,https://vimeo.com/679019509
Section 9,Introduction to Microsoft Planner,Introduction to Microsoft Planner,https://vimeo.com/679020441
Section 9,Providing Feedback on Microsoft Planner,Providing Feedback on Microsoft Planner,https://vimeo.com/679020574
Section 9,The Official Planner Website,The Official Planner Website,https://vimeo.com/679020687
Section 9,Why use Microsoft Planner,Why use Microsoft Planner,https://vimeo.com/679020842
Section 9,A Real World Example of Planner in Action,A Real World Example of Planner in Action,https://vimeo.com/679021033
Section 9,How to Access and Use Support Documentation for Microsoft Planner,How to Access and Use Support Documentation for Microsoft Planner,https://vimeo.com/679021586
Section 9,Initial Tour of Microsoft Planner,Initial Tour of Microsoft Planner,https://vimeo.com/679021772
Section 10,Initial OneDrive Tour,Initial OneDrive Tour,https://vimeo.com/679025806
Section 10,Introduction to OneDrive,Introduction to OneDrive,https://vimeo.com/679026238
Section 10,Plans and Pricing,Plans and Pricing,https://vimeo.com/679024567
Section 10,Sharing Files and Folders with OneDrive,Sharing Files and Folders with OneDrive,https://vimeo.com/679024778
Section 10,Using One Drive on your mobile device,Using One Drive on your mobile device,https://vimeo.com/679025290
Section 10,"How to create, view and open files in OneDrive","How to create, view and open files in OneDrive",https://vimeo.com/696970855
Section 10,"Uploading, renaming, downloading, copying, moving & restoring files in OneDrive","Uploading, renaming, downloading, copying, moving & restoring files in OneDrive",https://vimeo.com/679025454
Section 11,Initial Trello Tour,Initial Trello Tour,https://vimeo.com/691694762
Section 11,Introduction to Trello,Introduction to Trello,https://vimeo.com/691694952
Section 11,Real World Example of an Agile Kanban Board in Trello,Real World Example of an Agile Kanban Board in Trello,https://vimeo.com/691695140
Section 11,Setting up a Trello Board,Setting up a Trello Board,https://vimeo.com/691695212
Section 11,Using Cards on Trello Part 1,Using Cards on Trello Part 1,https://vimeo.com/691695475
